"URN","LA (code)","LA (name)","EstablishmentNumber","EstablishmentName","TypeOfEstablishment (name)","EstablishmentTypeGroup (name)","EstablishmentStatus (name)","ReasonEstablishmentOpened (name)","OpenDate","ReasonEstablishmentClosed (name)","CloseDate","PhaseOfEducation (name)","StatutoryLowAge","StatutoryHighAge","Boarders (name)","NurseryProvision (name)","OfficialSixthForm (name)","Gender (name)","ReligiousCharacter (name)","ReligiousEthos (name)","Diocese (name)","AdmissionsPolicy (name)","SchoolCapacity","SpecialClasses (name)","CensusDate","NumberOfPupils","NumberOfBoys","NumberOfGirls","PercentageFSM","TrustSchoolFlag (name)","Trusts (name)","SchoolSponsorFlag (name)","SchoolSponsors (name)","FederationFlag (name)","Federations (name)","UKPRN","FEHEIdentifier","FurtherEducationType (name)","OfstedLastInsp","Street","Locality","Address3","Town","County (name)","Postcode","SchoolWebsite","TelephoneNum","HeadTitle (name)","HeadFirstName","HeadLastName","HeadPreferredJobTitle","InspectorateName (name)","InspectorateReport","DateOfLastInspectionVisit","NextInspectionVisit","TeenMoth (name)","TeenMothPlaces","CCF (name)","SENPRU (name)","EBD (name)","PlacesPRU","FTProv (name)","EdByOther (name)","Section41Approved (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","SEN4 (name)","SEN5 (name)","SEN6 (name)","SEN7 (name)","SEN8 (name)","SEN9 (name)","SEN10 (name)","SEN11 (name)","SEN12 (name)","SEN13 (name)","TypeOfResourcedProvision (name)","ResourcedProvisionOnRoll","ResourcedProvisionCapacity","SenUnitOnRoll","SenUnitCapacity","GOR (name)","DistrictAdministrative (name)","AdministrativeWard (name)","ParliamentaryConstituency (name)","UrbanRural (name)","GSSLACode (name)","Easting","Northing","CensusAreaStatisticWard (name)","MSOA (name)","LSOA (name)","Inspectorate (name)","SENStat","SENNoStat","PropsName","OfstedRating (name)","RSCRegion (name)","Country (name)","UPRN","SiteName","MSOA (code)","LSOA (code)"
116314,"850","Hampshire","3143","St John the Baptist Church of England Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Portsmouth (ce)","Not applicable",315,"No Special Classes","18-01-2018","283","145","138","6.4","Not applicable","","Not applicable","","Not under a federation","",10071564,"","Not applicable","14-06-2017","Solomons Lane","Waltham Chase","","Southampton","Hampshire","SO32 2LY","http://stjohnthebaptistprimary.co.uk/","01329833141","Mrs","Kay","Bowen","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","Not applicable","","","","","South East","Winchester","Whiteley and Shedfield","Meon Valley","Rural village","E10000014",456389,114694,"","Winchester 012","Winchester 012F","","","","","Good","South-East England and South London","","200000176286","","E02004840","E01023273"
116315,"850","Hampshire","3144","Sherborne St John Church of England Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",117,"No Special Classes","18-01-2018","117","65","52","0.9","Not applicable","","Not applicable","","Not under a federation","",10071563,"","Not applicable","28-03-2017","Church Lane","Sherborne St John","","Basingstoke","Hampshire","RG24 9HT","http://www.ssj-school.co.uk","01256850180","Mrs","Karen","Payne","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","Sherborne St John","North East Hampshire","Rural village","E10000014",462377,155492,"","Basingstoke and Deane 005","Basingstoke and Deane 005E","","","","","Good","South-East England and South London","","10002235834","","E02004679","E01022547"
116316,"850","Hampshire","3146","South Baddesley Church of England Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",154,"No Special Classes","18-01-2018","139","66","73","5.8","Not applicable","","Not applicable","","Not under a federation","",10071562,"","Not applicable","29-04-2008","South Baddesley","","","Lymington","Hampshire","SO41 5RP","www.southbaddesley.hants.sch.uk","01590626243","Mrs","Anne","Moir","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","New Forest","Boldre and Sway","New Forest East","Rural village","E10000014",435094,96522,"","New Forest 017","New Forest 017A","","","","","Outstanding","South-East England and South London","","10007463971","","E02004795","E01022990"
116317,"850","Hampshire","3147","Sparsholt Church of England Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",116,"No Special Classes","18-01-2018","134","63","71","1.5","Not applicable","","Not applicable","","Not under a federation","",10078874,"","Not applicable","21-09-2010","Woodman Lane","","Sparsholt","Winchester","Hampshire","SO21 2NR","http://www.sparsholt.hants.sch.uk/","01962776264","Mr","Kenneth","Davies","Acting Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","Not applicable","","","","","South East","Winchester","Wonston and Micheldever","Winchester","Rural village","E10000014",443586,131164,"","Winchester 003","Winchester 003E","","","","","Outstanding","South-East England and South London","","10090843528","","E02004831","E01023274"
116318,"850","Hampshire","3149","St Luke's Church of England Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",210,"No Special Classes","18-01-2018","209","108","101","6.2","Not applicable","","Not applicable","","Not under a federation","",10071561,"","Not applicable","23-01-2009","West Beams Road","Sway","","Lymington","Hampshire","SO41 6AE","http://www.st-lukes.hants.sch.uk","01590682431","Mrs","Rachel","Goplen","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","New Forest","Boldre and Sway","New Forest East","Rural town and fringe","E10000014",427942,98485,"","New Forest 015","New Forest 015A","","","","","Outstanding","South-East England and South London","","100062531035","","E02004793","E01022989"
116319,"850","Hampshire","3150","Steep Church of England Voluntary Controlled Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Portsmouth (ce)","Not applicable",105,"No Special Classes","18-01-2018","98","42","56","3.1","Not applicable","","Not applicable","","Not under a federation","",10071560,"","Not applicable","08-12-2015","95 Church Road","Steep","","Petersfield","Hampshire","GU32 2DE","http://www.thelifecloud.net/schools/SteepCofEVCPrimarySchool","01730263988","Mrs","Lou","Romans","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","East Hampshire","Froxfield and Steep","East Hampshire","Rural village","E10000014",474532,125365,"","East Hampshire 011","East Hampshire 011B","","","","","Good","South-East England and South London","","1710034489","","E02004707","E01022597"
116320,"850","Hampshire","3156","Twyford St Mary's Church of England Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",160,"No Special Classes","18-01-2018","162","72","90","4.3","Not applicable","","Not applicable","","Not under a federation","",10071559,"","Not applicable","03-02-2016","School Road","Twyford","","Winchester","Hampshire","SO21 1QQ","www.twyford-pri.hants.sch.uk","01962713358","Mrs","Hannah","Beckett","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Winchester","Colden Common and Twyford","Winchester","Rural village","E10000014",447997,124486,"","Winchester 010","Winchester 010A","","","","","Good","South-East England and South London","","100062647474","","E02004838","E01023226"
116321,"850","Hampshire","3163","Vernham Dean Gillum's Church of England Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",5,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",105,"No Special Classes","18-01-2018","77","31","46","2.6","Not applicable","","Not applicable","","Not under a federation","",10078537,"","Not applicable","20-09-2018","Vernham Dean","","","Andover","Hampshire","SP11 0JY","http://www.vernhamdeanschool.co.uk","01264737241","Mrs","Cheryl","Hawkings","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Test Valley","Bourne Valley","North West Hampshire","Rural hamlet and isolated dwellings","E10000014",434443,156442,"","Test Valley 001","Test Valley 001A","","","","","Good","South-East England and South London","","200010012915","","E02004814","E01023165"
116322,"850","Hampshire","3168","West Meon Church of England Voluntary Controlled Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Portsmouth (ce)","Not applicable",84,"No Special Classes","18-01-2018","54","34","20","13.7","Not applicable","","Not applicable","","Not under a federation","",10071558,"","Not applicable","02-02-2016","Church Lane","West Meon","","Petersfield","Hampshire","GU32 1LF","www.westmeon.hants.sch.uk/","01730829213","Mrs","Julie","Kelly","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Winchester","Upper Meon Valley","Meon Valley","Rural village","E10000014",464021,124120,"","Winchester 011","Winchester 011E","","","","","Good","South-East England and South London","","100062343184","","E02004839","E01023282"
116323,"850","Hampshire","3169","West Tytherley Church of England Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",105,"No Special Classes","18-01-2018","66","30","36","6.1","Not applicable","","Not applicable","","Not under a federation","",10071557,"","Not applicable","23-02-2016","West Tytherley","The Village","","Salisbury","Wiltshire","SP5 1JX","http://www.west-tytherley.hants.sch.uk","01794340338","Mr","Michael","Warren","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Test Valley","Dun Valley","Romsey and Southampton North","Rural hamlet and isolated dwellings","E10000014",427390,129915,"","Test Valley 009","Test Valley 009C","","","","","Good","South-East England and South London","","100062540927","","E02004822","E01023177"
116324,"850","Hampshire","3170","Whitchurch Church of England Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",420,"No Special Classes","18-01-2018","434","206","228","5.8","Not applicable","","Not applicable","","Not under a federation","",10071556,"","Not applicable","15-03-2016","Daniel Road","","","Whitchurch","Hampshire","RG28 7LS","www.whitchurch.hants.sch.uk","01256892755","Mrs","Kate","Steven","Head Teacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","Whitchurch","North West Hampshire","Rural town and fringe","E10000014",446649,147966,"","Basingstoke and Deane 020","Basingstoke and Deane 020C","","","","","Good","South-East England and South London","","100062465493","","E02004694","E01022564"
116325,"850","Hampshire","3171","Wickham Church of England Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Portsmouth (ce)","Not applicable",285,"No Special Classes","18-01-2018","230","127","103","9.6","Not applicable","","Not applicable","","Not under a federation","",10071555,"","Not applicable","31-01-2017","Buddens Road","Wickham","","Fareham","Hampshire","PO17 5HU","www.wickham-primary.co.uk/","01329833065","Mrs","Helen","Castle","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Winchester","Southwick and Wickham","Meon Valley","Rural town and fringe","E10000014",457225,111805,"","Winchester 013","Winchester 013E","","","","","Good","South-East England and South London","","200000177180","","E02004841","E01023285"
116326,"850","Hampshire","3172","All Saints Church of England Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",210,"No Special Classes","18-01-2018","185","98","87","11.9","Not applicable","","Not applicable","","Not under a federation","",10071554,"","Not applicable","09-05-2018","St Catherine's Road","","","Winchester","Hampshire","SO23 0PS","www.allsaintsceprimary.co.uk","01962853179","Ms","Nicola","Osborne","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Winchester","St Michael","Winchester","Urban city and town","E10000014",448947,128957,"","Winchester 006","Winchester 006D","","","","","Good","South-East England and South London","","200000172956","","E02004834","E01023257"
116327,"850","Hampshire","3176","Western Church of England Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",480,"No Special Classes","18-01-2018","475","237","238","3.8","Not applicable","","Not applicable","","Not under a federation","",10071553,"","Not applicable","15-12-2015","Browning Drive","","","Winchester","Hampshire","SO22 5AR","http://www.western.hants.sch.uk","01962852591","Mr","Peter","Burbridge","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Winchester","St Paul","Winchester","Urban city and town","E10000014",446761,129923,"","Winchester 005","Winchester 005E","","","","","Good","South-East England and South London","","100062519965","","E02004833","E01023269"
116328,"850","Hampshire","3177","St Thomas' Church of England Infant School, Woolton Hill","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",5,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",135,"No Special Classes","18-01-2018","133","65","68","12.8","Not applicable","","Not applicable","","Not under a federation","",10079686,"","Not applicable","24-09-2009","Woolton Hill","","","Newbury","Berkshire","RG20 9XF","www.stthomasinfant.co.uk","01635253431","Mrs","Claire","Pearce-King","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","East Woodhay","North West Hampshire","Rural village","E10000014",443150,161615,"","Basingstoke and Deane 003","Basingstoke and Deane 003D","","","","","Outstanding","South-East England and South London","","100060251521","","E02004677","E01022500"
116329,"850","Hampshire","3181","St Bede Church of England Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",420,"No Special Classes","18-01-2018","448","219","229","3.1","Not applicable","","Not applicable","","Not under a federation","",10071552,"","Not applicable","14-02-2013","Gordon Road","","","Winchester","Hampshire","SO23 7DD","www.stbedewinchester.co.uk","01962852463","Mrs","Sarah","Duck","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Winchester","St Bartholomew","Winchester","Urban city and town","E10000014",448357,129893,"","Winchester 006","Winchester 006A","","","","","Outstanding","South-East England and South London","","200000187023","","E02004834","E01023251"
116330,"850","Hampshire","3183","Liphook Church of England Controlled Junior School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Portsmouth (ce)","Not applicable",360,"No Special Classes","18-01-2018","363","190","173","4.1","Not applicable","","Not applicable","","Supported by a federation","The Federation of Liphook Infant and Junior Schools",10078536,"","Not applicable","17-10-2018","Avenue Close","","","Liphook","Hampshire","GU30 7QE","www.liphookjuniorschool.co.uk/","01428722490","Mrs","Michele","Frost","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","East Hampshire","Bramshott and Liphook","East Hampshire","Rural town and fringe","E10000014",483633,131847,"","East Hampshire 009","East Hampshire 009E","","","","","Good","South-East England and South London","","100062342643","","E02004705","E01022587"
116331,"850","Hampshire","3184","Saint James' Church of England Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",5,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",525,"No Special Classes","18-01-2018","469","219","250","6.6","Not applicable","","Not applicable","","Not under a federation","",10078535,"","Not applicable","22-05-2015","Moorgreen Road","West End","","Southampton","Hampshire","SO30 3EG","www.st-james-westend.org.uk/","02380900995","Mrs","Michelle","Marsh","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Eastleigh","West End North","Eastleigh","Urban city and town","E10000014",447457,114773,"","Eastleigh 009","Eastleigh 009A","","","","","Good","South-East England and South London","","200001519392","","E02004720","E01022713"
116332,"850","Hampshire","3185","St Michael's Church of England Controlled Infant School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",5,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Guildford","Not applicable",270,"No Special Classes","18-01-2018","261","148","113","5","Not applicable","","Not applicable","","Not under a federation","",10079685,"","Not applicable","06-03-2015","Park Road","","","Aldershot","Hampshire","GU11 3PU","www.st-michaels-inf.hants.sch.uk/","01252324300","Mrs","Liz","Mathias","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Rushmoor","Manor Park","Aldershot","Urban city and town","E10000014",486922,149579,"","Rushmoor 011","Rushmoor 011B","","","","","Outstanding","South-East England and South London","","200003208258","","E02004812","E01023115"
116333,"850","Hampshire","3186","St Michael's Church of England Controlled Junior School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Guildford","Not applicable",384,"No Special Classes","18-01-2018","329","164","165","4.6","Not applicable","","Not applicable","","Not under a federation","",10078534,"","Not applicable","01-03-2017","Church Lane East","","","Aldershot","Hampshire","GU11 3SS","www.stmichaelscejunior.co.uk/","01252322933","Mrs","Steph","Tyler","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Rushmoor","Manor Park","Aldershot","Urban city and town","E10000014",487058,149719,"","Rushmoor 011","Rushmoor 011B","","","","","Requires improvement","South-East England and South London","","200003212172","","E02004812","E01023115"
116334,"850","Hampshire","3190","Leesland Church of England Controlled Junior School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Portsmouth (ce)","Not applicable",300,"No Special Classes","18-01-2018","314","160","154","9.6","Not applicable","","Not applicable","","Supported by a federation","Leesland Schools Federation",10078533,"","Not applicable","11-10-2018","Gordon Road","","","Gosport","Hampshire","PO12 3QF","www.leeslandschools-fed.co.uk","02392580962","Mrs","C","Wilson","Executive Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Gosport","Leesland","Gosport","Urban city and town","E10000014",460489,99827,"","Gosport 010","Gosport 010E","","","","","Good","South-East England and South London","","37032298","","E02004750","E01022831"
116335,"850","Hampshire","3191","Leesland Church of England Controlled Infant School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",5,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Portsmouth (ce)","Not applicable",270,"No Special Classes","18-01-2018","262","139","123","14.2","Not applicable","","Not applicable","","Supported by a federation","Leesland Schools Federation",10079684,"","Not applicable","01-11-2018","Whitworth Road","","","Gosport","Hampshire","PO12 3NL","www.leeslandschools-fed.co.uk","02392583872","Mrs","Claire","Wilson","Executive Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Gosport","Leesland","Gosport","Urban city and town","E10000014",460480,99894,"","Gosport 007","Gosport 007D","","","","","Good","South-East England and South London","","37032297","","E02004747","E01022832"
116336,"850","Hampshire","3192","Newtown Church of England Voluntary Controlled Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Portsmouth (ce)","Not applicable",410,"No Special Classes","18-01-2018","371","195","176","19.4","Not applicable","","Not applicable","","Not under a federation","",10071551,"","Not applicable","28-06-2017","Queen's Road","","","Gosport","Hampshire","PO12 1JD","www.newtownceprimary.co.uk/","02392584048","Mrs","Emma","Howlett","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Gosport","Leesland","Gosport","Urban city and town","E10000014",461085,100198,"","Gosport 008","Gosport 008C","","","","","Requires improvement","South-East England and South London","","37033010","","E02004748","E01022833"
116337,"850","Hampshire","3196","Rowledge Church of England Controlled Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Guildford","Not applicable",218,"No Special Classes","18-01-2018","217","114","103","3.2","Not applicable","","Not applicable","","Not under a federation","",10071550,"","Not applicable","10-01-2017","School Road","Rowledge","","Farnham","Surrey","GU10 4BW","www.rowledgeschool.com/","01252792346","Ms","Sarah","Oliver","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","East Hampshire","Binsted and Bentley","East Hampshire","Urban city and town","E10000014",482022,143313,"","East Hampshire 001","East Hampshire 001B","","","","","Good","South-East England and South London","","100062322159","","E02004697","E01022582"
116338,"850","Hampshire","3197","Bartley Church of England Junior School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",384,"No Special Classes","18-01-2018","383","192","191","3.4","Not applicable","","Not applicable","","Not under a federation","",10078532,"","Not applicable","22-03-2018","Winsor Road","Bartley","","Southampton","Hampshire","SO40 2HR","www.bartley.hants.sch.uk","02380812173","Miss","Karen","Stonehouse","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","New Forest","Bramshaw, Copythorne North and Minstead","New Forest East","Urban city and town","E10000014",430743,113414,"","New Forest 007","New Forest 007A","","","","","Good","South-East England and South London","","100062527876","","E02004785","E01022992"
116339,"852","Southampton","3200","Bitterne CE Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",413,"No Special Classes","18-01-2018","411","220","191","13.9","Not applicable","","Not applicable","","Not under a federation","",10071549,"","Not applicable","18-03-2015","Brownlow Avenue","Bitterne","","Southampton","Hampshire","SO19 7BX","www.bitterneceprimary.net","02380499494","Mr","Andy","Peterson","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Southampton","Peartree","Southampton, Itchen","Urban city and town","E06000045",444929,112864,"","Southampton 024","Southampton 024C","","","","","Good","South-East England and South London","","100062516661","","E02003572","E01017224"
116342,"852","Southampton","3203","St Mark's Church of England Voluntary Controlled Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",450,"No Special Classes","18-01-2018","457","235","222","16","Not applicable","","Not applicable","","Supported by a federation","The federation of St Mark's and St John's",10071548,"","Not applicable","21-09-2017","Stafford Road","Shirley","","Southampton","Hampshire","SO15 5TE","http://www.st-marks.southampton.sch.uk","02380772968","Mrs","Stephanie","Bryant","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Southampton","Freemantle","Southampton, Test","Urban city and town","E06000045",440640,113077,"","Southampton 021","Southampton 021A","","","","","Good","South-East England and South London","","100062506312","","E02003569","E01017192"
116343,"852","Southampton","3205","St Mary's Church of England Voluntary Controlled Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",3,11,"No boarders","Has Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Winchester","Not applicable",666,"No Special Classes","18-01-2018","642","332","310","19.1","Not applicable","","Not applicable","","Not under a federation","",10077400,"","Not applicable","16-05-2018","Ascupart Street","","","Southampton","Hampshire","SO14 1LU","http://www.stmaryspri.org.uk","02380223930","Mrs","Nagindra","Chungh","Executive Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Southampton","Bargate","Southampton, Itchen","Urban city and town","E06000045",442589,111974,"","Southampton 029","Southampton 029A","","","","","Good","South-East England and South London","","100062501289","","E02003577","E01017139"
116344,"851","Portsmouth","3212","St Jude's CofE Primary School","Voluntary controlled school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Church of England","Does not apply","Diocese of Portsmouth (ce)","Not applicable",420,"No Special Classes","18-01-2018","409","229","180","10.8","Not applicable","","Not applicable","","Not under a federation","",10071547,"","Not applicable","21-09-2016","St Nicholas Street","","","Portsmouth","Hampshire","PO1 2NZ","www.st-judes.portsmouth.sch.uk/","02392824061","Miss","Rachael","Osborne","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Portsmouth","St Thomas","Portsmouth South","Urban city and town","E06000044",463551,99358,"","Portsmouth 024","Portsmouth 024C","","","","","Requires improvement","South-East England and South London","","1775070600","","E02003547","E01017131"
